geo_name,geo_sumlevel,geo_id,pop_2013,pop_2014,pop_2015,pop_2016
"Haywood County, NC","county",05000US37087,58951,59012,59170,59577
"Henderson County, NC","county",05000US37089,107583,108642,109719,110905
"Hertford County, NC","county",05000US37091,24516,24460,24368,24285
"Hoke County, NC","county",05000US37093,48842,50034,51075,51853
"Hyde County, NC","county",05000US37095,5771,5757,5693,5629
"Iredell County, NC","county",05000US37097,161297,162999,165066,167493
"Jackson County, NC","county",05000US37099,40362,40598,40812,41227
"Johnston County, NC","county",05000US37101,172321,175343,178396,182155
"Jones County, NC","county",05000US37103,10194,10184,10166,10074
"Lee County, NC","county",05000US37105,58735,59096,59418,59540
"Lenoir County, NC","county",05000US37107,59277,59095,58782,58343
"Lincoln County, NC","county",05000US37109,78761,79041,79578,79783
"McDowell County, NC","county",05000US37111,44963,44982,44961,45013
"Macon County, NC","county",05000US37113,33859,33840,33919,33991
"Madison County, NC","county",05000US37115,20842,20951,21027,21130
"Martin County, NC","county",05000US37117,24147,23947,23729,23510
"Mecklenburg County, NC","county",05000US37119,947135,968500,990288,1011774
"Mitchell County, NC","county",05000US37121,15453,15380,15330,15263
"Montgomery County, NC","county",05000US37123,27707,27626,27601,27475
"Moore County, NC","county",05000US37125,89425,90579,91743,93070
"Nash County, NC","county",05000US37127,95571,95174,94722,94385
"New Hanover County, NC","county",05000US37129,206403,209586,213091,216430
"Northampton County, NC","county",05000US37131,21645,21310,21011,20628
"Onslow County, NC","county",05000US37133,179935,182921,183753,185755
"Orange County, NC","county",05000US37135,136057,137275,138644,139807
"Pamlico County, NC","county",05000US37137,13115,13062,12982,12892
"Pasquotank County, NC","county",05000US37139,40419,40233,40018,39909
"Pender County, NC","county",05000US37141,53412,54218,55166,56358
"Perquimans County, NC","county",05000US37143,13463,13507,13498,13470
"Person County, NC","county",05000US37145,39361,39303,39262,39196
"Pitt County, NC","county",05000US37147,170485,172438,173798,175150
"Polk County, NC","county",05000US37149,20381,20352,20327,20324
"Randolph County, NC","county",05000US37151,142042,142276,142370,142588
"Richmond County, NC","county",05000US37153,46534,46317,46046,45710
"Robeson County, NC","county",05000US37155,134535,134913,134871,134576
"Rockingham County, NC","county",05000US37157,92974,92602,92300,91898
"Rowan County, NC","county",05000US37159,138265,138246,138361,138694
"Rutherford County, NC","county",05000US37161,67403,67181,66865,66701
"Sampson County, NC","county",05000US37163,63687,63842,63873,63713
"Scotland County, NC","county",05000US37165,36201,36034,35932,35711
"Stanly County, NC","county",05000US37167,60529,60553,60586,60610
"Stokes County, NC","county",05000US37169,47063,46858,46661,46453
"Surry County, NC","county",05000US37171,73486,73391,73170,72767
"Swain County, NC","county",05000US37173,14017,14070,14163,14234
"Transylvania County, NC","county",05000US37175,32894,32943,32928,33062
"Tyrrell County, NC","county",05000US37177,4272,4219,4152,4128
"Union County, NC","county",05000US37179,205426,209387,213422,217614
"Vance County, NC","county",05000US37181,45120,44998,44829,44508
"Wake County, NC","county",05000US37183,929214,952513,976019,998576
"Warren County, NC","county",05000US37185,20792,20628,20468,20324
"Washington County, NC","county",05000US37187,12958,12837,12668,12503
"Watauga County, NC","county",05000US37189,51557,51903,52240,52745
"Wayne County, NC","county",05000US37191,123382,124093,124355,124447
"Wilkes County, NC","county",05000US37193,69184,69093,68946,68888
"Wilson County, NC","county",05000US37195,81365,81499,81581,81617
"Yadkin County, NC","county",05000US37197,38217,38101,37971,37819
"Yancey County, NC","county",05000US37199,17724,17662,17604,17599
"Adams County, ND","county",05000US38001,2328,2339,2341,2348
"Barnes County, ND","county",05000US38003,11085,11096,11097,11033
"Benson County, ND","county",05000US38005,6721,6764,6794,6802
"Billings County, ND","county",05000US38007,876,855,969,936
"Bottineau County, ND","county",05000US38009,6529,6579,6634,6650
"Bowman County, ND","county",05000US38011,3168,3192,3221,3238
"Burke County, ND","county",05000US38013,2094,2145,2208,2239
"Burleigh County, ND","county",05000US38015,83906,86111,88223,90560
"Cass County, ND","county",05000US38017,154080,158041,162500,166852
"Cavalier County, ND","county",05000US38019,3952,3922,3890,3867
"Dickey County, ND","county",05000US38021,5264,5234,5195,5160
"Divide County, ND","county",05000US38023,2155,2239,2314,2369
"Dunn County, ND","county",05000US38025,3786,3965,4195,4284
"Eddy County, ND","county",05000US38027,2382,2379,2370,2370
"Emmons County, ND","county",05000US38029,3521,3491,3463,3426
"Foster County, ND","county",05000US38031,3355,3364,3366,3345
"Golden Valley County, ND","county",05000US38033,1698,1812,1822,1895
"Grand Forks County, ND","county",05000US38035,67357,68144,68979,69793
"Grant County, ND","county",05000US38037,2372,2363,2362,2369
"Griggs County, ND","county",05000US38039,2370,2348,2329,2311
"Hettinger County, ND","county",05000US38041,2539,2575,2621,2639
"Kidder County, ND","county",05000US38043,2429,2434,2430,2419
"LaMoure County, ND","county",05000US38045,4136,4127,4113,4111
"Logan County, ND","county",05000US38047,1966,1955,1945,1939
"McHenry County, ND","county",05000US38049,5593,5711,5817,5912
"McIntosh County, ND","county",05000US38051,2791,2788,2759,2737
"McKenzie County, ND","county",05000US38053,7377,8333,9615,10718
"McLean County, ND","county",05000US38055,9163,9299,9451,9576
"Mercer County, ND","county",05000US38057,8456,8532,8633,8671
"Morton County, ND","county",05000US38059,27874,28428,28985,29633
"Mountrail County, ND","county",05000US38061,8280,8743,9253,9675
"Nelson County, ND","county",05000US38063,3101,3078,3048,3032
"Oliver County, ND","county",05000US38065,1840,1832,1819,1768
"Pembina County, ND","county",05000US38067,7327,7266,7206,7136
"Pierce County, ND","county",05000US38069,4399,4402,4395,4373
"Ramsey County, ND","county",05000US38071,11473,11522,11566,11578
"Ransom County, ND","county",05000US38073,5472,5452,5453,5457
"Renville County, ND","county",05000US38075,2512,2546,2562,2573
"Richland County, ND","county",05000US38077,16258,16307,16317,16329
"Rolette County, ND","county",05000US38079,14176,14341,14498,14607
"Sargent County, ND","county",05000US38081,3859,3863,3874,3889
"Sheridan County, ND","county",05000US38083,1313,1320,1337,1395
"Sioux County, ND","county",05000US38085,4258,4317,4380,4431
"Slope County, ND","county",05000US38087,738,715,673,665
"Stark County, ND","county",05000US38089,25666,27038,28628,29837
"Steele County, ND","county",05000US38091,1976,1982,1979,1969
"Stutsman County, ND","county",05000US38093,21046,21056,21076,21108
"Towner County, ND","county",05000US38095,2285,2292,2294,2292
"Traill County, ND","county",05000US38097,8125,8106,8077,8075
"Walsh County, ND","county",05000US38099,11102,11052,11005,10995
"Ward County, ND","county",05000US38101,64008,65854,67736,68954
"Wells County, ND","county",05000US38103,4220,4210,4204,4179
"Williams County, ND","county",05000US38105,25024,27066,29619,31643
"Adams County, OH","county",05000US39001,28406,28342,28229,28111
"Allen County, OH","county",05000US39003,105895,105562,105196,104664
"Ashland County, OH","county",05000US39005,53234,53202,53189,53343
"Ashtabula County, OH","county",05000US39007,100835,100346,99777,99175
"Athens County, OH","county",05000US39009,64811,64840,64974,65103
"Auglaize County, OH","county",05000US39011,45906,45867,45873,45871
